$GNRMC,072408.60,A,3600.77859,N,12919.12755,E,0.223,208.46,010620,,,A,V*0C
$GNRMC,072408.70,A,3600.77864,N,12919.12765,E,0.151,,010620,,,A,V*10
$GNGGA,072416.80,3600.77898,N,12919.12821,E,1,12,0.52,60.2,M,24.3,M,,*7F
$GNGGA,072416.90,3600.77898,N,12919.12822,E,1,12,0.52,60.2,M,24.3,M,,*7D
$GNGGA,072417.00,3600.77899,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*75
$GNGGA,072417.10,3600.77899,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*74
$GNGGA,072417.20,3600.77899,N,12919.12824,E,1,12,0.52,60.2,M,24.3,M,,*70
$GNGGA,072417.30,3600.77899,N,12919.12824,E,1,12,0.52,60.2,M,24.3,M,,*71
$GNGGA,072417.40,3600.77899,N,12919.12823,E,1,12,0.52,60.2,M,24.3,M,,*71
$GNGGA,072417.50,3600.77899,N,12919.12822,E,1,12,0.52,60.2,M,24.3,M,,*71
$GNGGA,072417.60,3600.77899,N,12919.12821,E,1,12,0.52,60.2,M,24.3,M,,*71
$GNGGA,072417.70,3600.77898,N,12919.12820,E,1,12,0.52,60.2,M,24.3,M,,*70
$GNGGA,072417.80,3600.77898,N,12919.12820,E,1,12,0.52,60.2,M,24.3,M,,*7F
$GNGGA,072417.90,3600.77897,N,12919.12819,E,1,12,0.52,60.2,M,24.3,M,,*7B
$GNGGA,072418.00,3600.77897,N,12919.12819,E,1,12,0.52,60.2,M,24.3,M,,*7D
$GNGGA,072418.10,3600.77896,N,12919.12819,E,1,12,0.52,60.2,M,24.3,M,,*7D
$GNGGA,072418.20,3600.77896,N,12919.12819,E,1,12,0.52,60.2,M,24.3,M,,*7E
$GNGGA,072418.30,3600.77896,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*7E
$GNGGA,072418.40,3600.77895,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*7A
$GNGGA,072418.50,3600.77895,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*7B
$GNGGA,072418.60,3600.77894,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*73
$GNGGA,072418.70,3600.77894,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*72
$GNGGA,072418.80,3600.77894,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*7D
$GNGGA,072418.90,3600.77894,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*7D
$GNGGA,072419.00,3600.77894,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*75
$GNGGA,072419.10,3600.77894,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*74
$GNGGA,072419.20,3600.77895,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*77
$GNGGA,072419.30,3600.77895,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*76
$GNGGA,072419.40,3600.77895,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*7B
$GNGGA,072419.50,3600.77896,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*79
$GNGGA,072419.60,3600.77896,N,12919.12818,E,1,12,0.52,60.3,M,24.3,M,,*7B
$GNGGA,072419.70,3600.77896,N,12919.12817,E,1,12,0.52,60.3,M,24.3,M,,*75
$GNGGA,072419.80,3600.77896,N,12919.12816,E,1,12,0.52,60.3,M,24.3,M,,*7B
$GNGGA,072419.90,3600.77896,N,12919.12816,E,1,12,0.52,60.3,M,24.3,M,,*7A
$GNGGA,072420.00,3600.77896,N,12919.12817,E,1,12,0.52,60.3,M,24.3,M,,*78
$GNGGA,072420.10,3600.77896,N,12919.12817,E,1,12,0.52,60.3,M,24.3,M,,*79
$GNGGA,072420.20,3600.77896,N,12919.12817,E,1,12,0.52,60.3,M,24.3,M,,*7A
$GNGGA,072420.30,3600.77896,N,12919.12818,E,1,12,0.52,60.3,M,24.3,M,,*74
$GNGGA,072420.40,3600.77896,N,12919.12818,E,1,12,0.52,60.3,M,24.3,M,,*73
$GNGGA,072420.50,3600.77896,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*73
$GNGGA,072420.60,3600.77895,N,12919.12819,E,1,12,0.52,60.3,M,24.3,M,,*73
$GNGGA,072420.70,3600.77894,N,12919.12820,E,1,12,0.52,60.3,M,24.3,M,,*79
$GNGGA,072420.80,3600.77893,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*70
$GNGGA,072420.90,3600.77892,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*70
$GNGGA,072421.00,3600.77890,N,12919.12822,E,1,12,0.52,60.3,M,24.3,M,,*79
$GNGGA,072421.10,3600.77889,N,12919.12822,E,1,12,0.52,60.3,M,24.3,M,,*70
$GNGGA,072421.20,3600.77889,N,12919.12822,E,1,12,0.52,60.3,M,24.3,M,,*73
$GNGGA,072421.30,3600.77889,N,12919.12821,E,1,12,0.52,60.3,M,24.3,M,,*71
$GNGGA,072421.40,3600.77888,N,12919.12821,E,1,12,0.52,60.4,M,24.3,M,,*70
$GNGGA,072421.50,3600.77888,N,12919.12820,E,1,12,0.52,60.4,M,24.3,M,,*70
$GNGGA,072421.60,3600.77887,N,12919.12820,E,1,12,0.52,60.4,M,24.3,M,,*7C
$GNGGA,072421.70,3600.77887,N,12919.12819,E,1,12,0.52,60.4,M,24.3,M,,*77
$GNGGA,072421.80,3600.77887,N,12919.12818,E,1,12,0.52,60.4,M,24.3,M,,*79
$GNGGA,072421.90,3600.77887,N,12919.12818,E,1,12,0.52,60.4,M,24.3,M,,*78
$GNGGA,072422.00,3600.77887,N,12919.12817,E,1,12,0.52,60.4,M,24.3,M,,*7D
$GNGGA,072422.10,3600.77888,N,12919.12817,E,1,12,0.52,60.4,M,24.3,M,,*73
$GNGGA,072422.20,3600.77888,N,12919.12817,E,1,12,0.52,60.4,M,24.3,M,,*70
$GNGGA,072422.30,3600.77888,N,12919.12817,E,1,12,0.55,60.4,M,24.3,M,,*76
$GNGGA,072422.40,3600.77887,N,12919.12818,E,2,12,0.59,60.6,M,24.3,M,0.4,0000*56
$GNGGA,072422.50,3600.77886,N,12919.12818,E,2,12,0.55,60.6,M,24.3,M,0.5,0000*5B
$GNGGA,072422.60,3600.77885,N,12919.12818,E,2,12,0.55,60.7,M,24.3,M,0.6,0000*59
$GNGGA,072422.70,3600.77884,N,12919.12818,E,2,12,0.55,60.7,M,24.3,M,0.7,0000*58
$GNGGA,072422.80,3600.77883,N,12919.12818,E,2,12,0.55,60.7,M,24.3,M,0.8,0000*5F
$GNGGA,072422.90,3600.77882,N,12919.12818,E,2,12,0.55,60.8,M,24.3,M,0.9,0000*51
$GNGGA,072423.00,3600.77881,N,12919.12818,E,2,12,0.55,60.8,M,24.3,M,1.0,0000*52
$GNGGA,072423.10,3600.77881,N,12919.12817,E,2,12,0.55,60.9,M,24.3,M,1.1,0000*5C
$GNGGA,072423.20,3600.77880,N,12919.12817,E,2,12,0.55,60.9,M,24.3,M,1.2,0000*5D
$GNGGA,072423.30,3600.77881,N,12919.12816,E,2,12,0.55,61.0,M,24.3,M,1.3,0000*55
$GNGGA,072423.40,3600.77881,N,12919.12815,E,2,12,0.55,61.0,M,24.3,M,0.4,0000*57
$GNGGA,072423.50,3600.77881,N,12919.12814,E,2,12,0.55,61.0,M,24.3,M,0.5,0000*56
$GNGGA,072423.60,3600.77888,N,12919.12817,E,5,12,0.55,60.5,M,24.3,M,0.6,0000*5F
$GNGGA,072423.70,3600.77889,N,12919.12819,E,5,12,0.54,60.4,M,24.3,M,0.7,0000*50
$GNGGA,072423.80,3600.77890,N,12919.12820,E,5,12,0.54,60.4,M,24.3,M,0.8,0000*52
$GNGGA,072423.90,3600.77891,N,12919.12820,E,5,12,0.54,60.3,M,24.3,M,0.9,0000*54
$GNGGA,072424.00,3600.77892,N,12919.12821,E,5,12,0.54,60.2,M,24.3,M,1.0,0000*51
$GNGGA,072424.10,3600.77892,N,12919.12821,E,5,12,0.54,60.2,M,24.3,M,1.1,0000*51
$GNGGA,072424.20,3600.77892,N,12919.12821,E,5,12,0.54,60.1,M,24.3,M,1.2,0000*52
$GNGGA,072424.30,3600.77892,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.3,0000*52
$GNGGA,072424.40,3600.77893,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.4,0000*53
$GNGGA,072424.50,3600.77893,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.5,0000*50
$GNGGA,072424.60,3600.77894,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.6,0000*57
$GNGGA,072424.70,3600.77895,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.7,0000*56
$GNGGA,072424.80,3600.77895,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.8,0000*56
$GNGGA,072424.90,3600.77894,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.9,0000*57
$GNGGA,072425.00,3600.77894,N,12919.12820,E,5,12,0.54,59.9,M,24.3,M,1.0,0000*56
$GNGGA,072425.10,3600.77893,N,12919.12820,E,5,12,0.54,59.9,M,24.3,M,1.1,0000*51
$GNGGA,072425.20,3600.77893,N,12919.12820,E,5,12,0.54,59.9,M,24.3,M,1.2,0000*51
$GNGGA,072425.30,3600.77894,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,1.3,0000*57
$GNGGA,072425.40,3600.77894,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.4,0000*56
$GNGGA,072425.50,3600.77894,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.5,0000*56
$GNGGA,072425.60,3600.77893,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.6,0000*51
$GNGGA,072425.70,3600.77893,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.7,0000*51
$GNGGA,072425.80,3600.77893,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.8,0000*51
$GNGGA,072425.90,3600.77893,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.9,0000*51
$GNGGA,072426.00,3600.77892,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,1.0,0000*52
$GNGGA,072426.10,3600.77892,N,12919.12822,E,5,12,0.54,59.9,M,24.3,M,1.1,0000*51
$GNGGA,072426.20,3600.77892,N,12919.12822,E,5,12,0.54,59.9,M,24.3,M,1.2,0000*51
$GNGGA,072426.30,3600.77892,N,12919.12822,E,5,12,0.54,59.9,M,24.3,M,0.3,0000*50
$GNGGA,072426.40,3600.77891,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.4,0000*50
$GNGGA,072426.50,3600.77891,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.5,0000*50
$GNGGA,072426.60,3600.77891,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.6,0000*50
$GNGGA,072426.70,3600.77891,N,12919.12821,E,5,12,0.54,59.9,M,24.3,M,0.7,0000*50
$GNGGA,072426.80,3600.77891,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.8,0000*53
$GNGGA,072426.90,3600.77890,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.9,0000*52
$GNGGA,072427.00,3600.77890,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,1.0,0000*52
$GNGGA,072427.10,3600.77890,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,1.1,0000*52
$GNGGA,072427.20,3600.77889,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.2,0000*5B
$GNGGA,072427.30,3600.77889,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.3,0000*5B
$GNGGA,072427.40,3600.77889,N,12919.12821,E,5,12,0.54,60.0,M,24.3,M,0.4,0000*5B
$GNGGA,072427.50,3600.77889,N,12919.12821,E,5,12,0.54,60.1,M,24.3,M,0.5,0000*5A
$GNGGA,072427.60,3600.77889,N,12919.12820,E,5,12,0.54,60.1,M,24.3,M,0.6,0000*5B
$GNGGA,072427.70,3600.77888,N,12919.12818,E,5,12,0.54,60.2,M,24.3,M,0.7,0000*52
$GNGGA,072427.80,3600.77889,N,12919.12817,E,5,12,0.54,60.2,M,24.3,M,0.8,0000*5C
$GNGGA,072427.90,3600.77889,N,12919.12817,E,5,12,0.54,60.3,M,24.3,M,0.9,0000*5D
$GNGGA,072428.00,3600.77890,N,12919.12818,E,5,12,0.54,60.4,M,24.3,M,1.0,0000*53
$GNGGA,072428.10,3600.77891,N,12919.12820,E,5,12,0.54,60.5,M,24.3,M,1.1,0000*58
$GNGGA,072428.20,3600.77891,N,12919.12822,E,5,12,0.54,60.6,M,24.3,M,0.2,0000*58
$GNGGA,072428.30,3600.77890,N,12919.12823,E,5,12,0.54,60.7,M,24.3,M,0.3,0000*59
$GNGGA,072428.40,3600.77888,N,12919.12823,E,5,12,0.54,60.7,M,24.3,M,0.4,0000*50
$GNGGA,072428.50,3600.77888,N,12919.12824,E,5,12,0.54,60.8,M,24.3,M,0.5,0000*58
$GNGGA,072428.60,3600.77887,N,12919.12824,E,5,12,0.54,60.8,M,24.3,M,0.6,0000*57
$GNGGA,072428.70,3600.77887,N,12919.12825,E,5,12,0.54,60.9,M,24.3,M,0.7,0000*57
$GNGGA,072428.80,3600.77886,N,12919.12825,E,5,12,0.54,60.9,M,24.3,M,0.8,0000*56
$GNGGA,072428.90,3600.77885,N,12919.12825,E,5,12,0.54,60.9,M,24.3,M,0.9,0000*55
$GNGGA,072429.00,3600.77885,N,12919.12824,E,5,12,0.54,61.0,M,24.3,M,1.0,0000*5C
$GNGGA,072429.10,3600.77884,N,12919.12823,E,5,12,0.54,61.0,M,24.3,M,1.1,0000*5A
$GNGGA,072429.20,3600.77884,N,12919.12823,E,5,12,0.54,61.0,M,24.3,M,0.2,0000*5B
$GNGGA,072429.30,3600.77883,N,12919.12823,E,5,12,0.54,61.0,M,24.3,M,0.3,0000*5C
$GNGGA,072429.40,3600.77883,N,12919.12823,E,5,12,0.54,61.1,M,24.3,M,0.4,0000*5D
$GNGGA,072429.50,3600.77883,N,12919.12824,E,5,12,0.54,61.1,M,24.3,M,0.5,0000*5A
$GNGGA,072429.60,3600.77883,N,12919.12824,E,5,12,0.54,61.1,M,24.3,M,0.6,0000*5A
$GNGGA,072429.70,3600.77883,N,12919.12824,E,5,12,0.54,61.1,M,24.3,M,0.7,0000*5A
$GNGGA,072429.80,3600.77883,N,12919.12824,E,5,12,0.54,61.1,M,24.3,M,0.8,0000*5A
$GNGGA,072429.90,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,0.9,0000*5E
$GNGGA,072430.00,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,1.0,0000*57
$GNGGA,072430.10,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,1.1,0000*57
$GNGGA,072430.20,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,1.2,0000*57
$GNGGA,072430.30,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,1.3,0000*57
$GNGGA,072430.40,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,0.4,0000*56
$GNGGA,072430.50,3600.77884,N,12919.12824,E,5,12,0.54,61.2,M,24.3,M,0.5,0000*56
$GNGGA,072430.60,3600.77884,N,12919.12824,E,5,12,0.54,61.3,M,24.3,M,0.6,0000*57
$GNGGA,072430.70,3600.77884,N,12919.12823,E,5,12,0.54,61.3,M,24.3,M,0.7,0000*50
$GNGGA,072430.80,3600.77884,N,12919.12823,E,5,12,0.54,61.3,M,24.3,M,0.8,0000*50
$GNGGA,072430.90,3600.77884,N,12919.12823,E,5,12,0.54,61.3,M,24.3,M,0.9,0000*50
$GNGGA,072431.00,3600.77885,N,12919.12823,E,5,12,0.54,61.3,M,24.3,M,1.0,0000*51
$GNGGA,072431.10,3600.77885,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,1.1,0000*56
$GNGGA,072431.20,3600.77885,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,1.2,0000*56
$GNGGA,072431.30,3600.77885,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.3,0000*57
$GNGGA,072431.40,3600.77885,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.4,0000*57
$GNGGA,072431.50,3600.77884,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.5,0000*56
$GNGGA,072431.60,3600.77884,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.6,0000*56
$GNGGA,072431.70,3600.77883,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.7,0000*51
$GNGGA,072431.80,3600.77883,N,12919.12823,E,5,12,0.54,61.4,M,24.3,M,0.8,0000*51
$GNGGA,072431.90,3600.77883,N,12919.12823,E,5,12,0.54,61.5,M,24.3,M,0.9,0000*50
$GNGGA,072432.00,3600.77882,N,12919.12824,E,5,12,0.54,61.5,M,24.3,M,1.0,0000*54
$GNGGA,072432.10,3600.77882,N,12919.12825,E,5,12,0.54,61.5,M,24.3,M,1.1,0000*55
$GNGGA,072432.20,3600.77882,N,12919.12826,E,5,12,0.54,61.5,M,24.3,M,1.2,0000*56
$GNGGA,072432.30,3600.77882,N,12919.12827,E,5,12,0.54,61.4,M,24.3,M,0.3,0000*57
$GNGGA,072432.40,3600.77883,N,12919.12826,E,5,12,0.54,61.4,M,24.3,M,0.4,0000*57
$GNGGA,072432.50,3600.77883,N,12919.12826,E,5,12,0.54,61.4,M,24.3,M,0.5,0000*57
$GNGGA,072432.60,3600.77883,N,12919.12824,E,5,12,0.54,61.3,M,24.3,M,0.6,0000*52
$GNGGA,072432.70,3600.77883,N,12919.12823,E,5,12,0.54,61.3,M,24.3,M,0.7,0000*55
$GNGGA,072432.80,3600.77882,N,12919.12823,E,5,12,0.54,61.2,M,24.3,M,0.8,0000*55
$GNGGA,072432.90,3600.77882,N,12919.12822,E,5,12,0.54,61.2,M,24.3,M,0.9,0000*54
$GNGGA,072433.00,3600.77883,N,12919.12823,E,5,12,0.54,61.1,M,24.3,M,1.0,0000*57
$GNGGA,072433.10,3600.77884,N,12919.12824,E,5,12,0.54,61.1,M,24.3,M,1.1,0000*57
$GNGGA,072433.20,3600.77885,N,12919.12825,E,5,12,0.54,61.0,M,24.3,M,1.2,0000*56
$GNGGA,072433.30,3600.77885,N,12919.12827,E,5,12,0.54,61.0,M,24.3,M,0.3,0000*55
$GNGGA,072433.40,3600.77884,N,12919.12828,E,5,12,0.54,61.0,M,24.3,M,0.4,0000*5B
$GNGGA,072433.50,3600.77883,N,12919.12828,E,5,12,0.54,61.0,M,24.3,M,0.5,0000*5C
$GNGGA,072433.60,3600.77883,N,12919.12828,E,5,12,0.54,61.1,M,24.3,M,0.6,0000*5D
$GNGGA,072433.70,3600.77884,N,12919.12828,E,5,12,0.54,61.1,M,24.3,M,0.7,0000*5A
$GNGGA,072433.80,3600.77885,N,12919.12829,E,5,12,0.54,61.2,M,24.3,M,0.8,0000*59
$GNGGA,072433.90,3600.77885,N,12919.12829,E,5,12,0.54,61.3,M,24.3,M,0.9,0000*58
$GNGGA,072434.00,3600.77884,N,12919.12830,E,5,12,0.54,61.3,M,24.3,M,1.0,0000*57
$GNGGA,072434.10,3600.77882,N,12919.12829,E,5,12,0.54,61.4,M,24.3,M,1.1,0000*5E
$GNGGA,072434.20,3600.77881,N,12919.12828,E,5,12,0.54,61.4,M,24.3,M,1.2,0000*5C
$GNGGA,072434.30,3600.77882,N,12919.12828,E,5,12,0.54,61.5,M,24.3,M,0.3,0000*5F
